Clase,Estado,Fecha de solicitud,fecha_atención,Mes,lugar,latitud,longitud,Actividad,comentario,Columna 11,Foto,Responsable,Detalle
Poda,,,01/06/2026,junio,Jardin central,"-12,0691","-77,0794",Poda de despeje/reducción,Canteo y poda jardín central,,https://drive.google.com/file/d/12dLYQQbHy7-wuMYXx-uPwCJ2RVSBgT3j/view?usp=sharing,responsable,
Mantenimiento de jardines,,,02/06/2026,junio,Comedor Central,"-12,0703","-77,0812",Limpieza integral de jardineras,Limpieza Comedor Central,,https://drive.google.com/file/d/1GIzVJhS17QP03WBs9JfxH5pyY42oarRo/view?usp=sharing,responsable,
Poda,,,03/06/2026,junio,DIODO,"-12,0729","-77,0816",Poda de despeje/reducción,Poda cerco de laurel en DIODO,,https://drive.google.com/file/d/1MBO1D-hWO6-rBhkcRoDveNjQt3mKgwYl/view?usp=sharing,responsable,
Rehabilitación y rediseño de jardines,,,04/06/2026,junio,Servicio Médico,"-12,0698","-77,0796",Resiembra,Resiembra de flor de papa en servicio médico,,https://drive.google.com/file/d/1RiLNzMeacECHlx03-3IkivNDxvqHem8Z/view?usp=sharing,responsable,
Propagación y plantación,,,08/06/2026,junio,Servicio médico,"-12,0698","-77,0796",Propagación por esquejes,Canteo poda y senbrado de durantas servicio medico,,https://drive.google.com/file/d/1bC4GBFDXik3IxfRfehsenysYzQhKQHPA/view?usp=sharing,responsable,
Propagación y plantación,,,08/06/2026,junio,Arte Antiguo,"-12,0704","-77,0797",Propagación por esquejes,Canteo poda y senbrado de durantas ,,https://drive.google.com/file/d/1xEjbTh8lsTeSxJmiPAMCDAvWWzBc56O7/view?usp=sharing,responsable,
Mantenimiento de jardines,,,08/06/2026,junio,CETAM,"-12,0730","-77,0827",Canteo,Canteo,,https://drive.google.com/file/d/1729dOMN4d2fkT5-6NwC8dKgpnJ-yAig-/view?usp=sharing,responsable,
Riego,,,09/06/2026,junio,playa estacionamiento studio TV,"-12,0682","-77,0814",Riego manual,Regado las poncianas,,https://drive.google.com/file/d/1Su_rMtUzCr_lgxd0JCIbh_2emzBqNGYU/view?usp=sharing,responsable,
Mantenimiento de jardines,,,09/06/2026,junio,Pabellón Z,"-12,0692","-77,0809",Limpieza de hojarasca,Limpieza en Z,,https://drive.google.com/file/d/1mOtO6FSWea7Sbv71RXZPPHMZyVCsTnGy/view?usp=sharing,responsable,
Poda,,,09/06/2026,junio,Educación,"-12,0675","-77,0795",Poda de despeje/reducción,Canteo y poda educación,,https://drive.google.com/file/d/1IdAm4KQk6ht-OhcRDlnkvw2v5nGiu0It/view?usp=sharing,responsable,
Poda,,,10/06/2026,junio,Comedor Central,"-12,0703","-77,0816",Poda de despeje/reducción,Poda de papelillo en Comedor Central,,https://drive.google.com/file/d/113XGSjyNW-PYrpBVjejA06cWgB0r11KY/view?usp=sharing,responsable,
Propagación y plantación,,,10/06/2026,junio,Jardin Central,"-12,0694","-77,0784",Propagación por esquejes,Renovacion de plantas jardin entrada principal,,https://drive.google.com/file/d/1HtkZipsesHBvB4dhamdkj34TLYh8ah1z/view?usp=sharing,responsable,
Habilitación de jardines,,,10/06/2026,junio,Servicio médico,"-12,0700","-77,0795",Instalación de césped,chanpeado de cesped ,,https://drive.google.com/file/d/114FbuZd5HUO1dKZf6S8deElnkefy-IdF/view?usp=sharing,responsable,
Mantenimiento de jardines,,,10/06/2026,junio,Comedor central,"-12,0708","-77,0814",Canteo,Canteo y poda,,https://drive.google.com/file/d/1ROdpabVy3bO_MOMVu8PCvmCVGVHk4Iz8/view?usp=sharing,responsable,
Poda,,,11/06/2026,junio,EEGGLL (Estudios generales Letras),"-12,0674","-77,0798",Poda de mantenimiento,Poda,,https://drive.google.com/file/d/1cRA3_PTPUG97nVr8offNjBkpLjPzBvdI/view?usp=sharing,responsable,
Poda,,,11/06/2026,junio,Comedor de Letras,"-12,0685","-77,0801",Poda de mantenimiento,Poda,,https://drive.google.com/file/d/15FAZjq6b4x1pdymxjHg2BY5DVsi1eM1Z/view?usp=sharing,responsable,
Mantenimiento de jardines,,,11/06/2026,junio,Derecho,"-12,0699","-77,0813",Canteo,Canteo y poda ,,https://drive.google.com/file/d/1EfF99hsZJwQVviaoiLxM1xM9VkKo2OEz/view?usp=sharing,responsable,
Rehabilitación y rediseño de jardines,,,12/06/2026,junio,Cactario,"-12,0723","-77,0785",Renovación de jardineras,Trabajo de reubicación y mejoramiento en cactario,,https://drive.google.com/file/d/1JbmSVPaRGwb78wf9y-Uhz7B1aPnwhnfh/view?usp=sharing,responsable,
Rehabilitación y rediseño de jardines,,,13/06/2026,junio,Cactario,"-12,0724","-77,0786",Renovación de jardineras,Trabajo de reubicación y mejoramiento en cactario,,https://drive.google.com/file/d/1lksM0o4CYBr0uM7TO5HwJ4Y1W-Xa_T8P/view?usp=sharing,responsable,
Poda,,,13/06/2026,junio,Comedor de Letras,"-12,0685","-77,0798",Poda de mantenimiento,Poda ligera de ramas jardín,,https://drive.google.com/file/d/1ZJi_QKyqE6J1eGl_77LUZgpWBvNgc55B/view?usp=sharing,responsable,
Rehabilitación y rediseño de jardines,,,15/06/2026,junio,Cactario,"-12,0721","-77,0785",Renovación de cobertura ornamental,Terminando esparcir arena en las lomadas,,https://drive.google.com/file/d/1WtC5GUFJwuYUTGXCaQfxG2TnpD6Vce9T/view?usp=sharing,responsable,
Mantenimiento de jardines,,,15/06/2026,junio,Derecho,"-12,0699","-77,0813",Canteo,Canteo y poda,,https://drive.google.com/file/d/13IugPOwxj9auTu0dMSpthDgrUPS93NW5/view?usp=sharing,responsable,
Propagación y plantación,,,16/06/2026,junio,Química,"-12,0719","-77,0796",Siembra de plantas,Sembrado de hiedra ,,https://drive.google.com/file/d/1zAW3yY6R8_hs7siaZACjl634UvfzA_DZ/view?usp=sharing,responsable,
Poda,,,17/06/2026,junio,Derecho,"-12,0701","-77,0813",Poda de despeje/reducción,Canteo y poda,,https://drive.google.com/file/d/11ROfxVKBPmDnP94Ca9I3ibVVyxmWT6Ut/view?usp=sharing,responsable,
Mantenimiento de jardines,,,18/06/2026,junio,Arqueología,"-12,0677","-77,0809",Canteo,canteo y poda,,https://drive.google.com/file/d/1CQUchszUbbhBLc8qDIATZAJY5olLHKSN/view?usp=drive_link,responsable,
Mantenimiento de jardines,,,18/06/2026,junio,Estacionamiento,"-12,0679","-77,0815",Deshierbo,Deshiebo y tiego ponciana,,https://drive.google.com/file/d/1w7YTlWhDA64RGSTz8bgH7wx4uAvOVhcP/view?usp=sharing,responsable,
Mantenimiento de jardines,,,19/06/2026,junio,Letras y Ciencias Humanas,"-12,0697","-77,0812",Limpieza integral de jardineras,Macizo ,,https://drive.google.com/file/d/1tmi5YRDAKYa3yu0nzRo41HDiKkEPUM6Q/view?usp=sharing,responsable,
Mantenimiento de jardines,,,22/06/2026,junio,Puerta Rivaguero,"-12,0695","-77,0819",Canteo,Canteo,,https://drive.google.com/file/d/1xJzopHnQx9OqaIZHQdVtyMiSgFeryFiC/view?usp=sharing,responsable,
Poda,,,23/06/2026,junio,Ciencias contables,"-12,0705","-77,0786",Poda de mantenimiento,Poda de ábroles,,https://drive.google.com/file/d/1kLiY5siFLGNEkZubAAMg0oQXTJlgEc9b/view?usp=sharing,responsable,
Propagación y plantación,,,24/06/2026,junio,Jardin Lateral McGregor,"-12,0684","-77,0783",Siembra de plantas,Sembrado y macizo,,https://drive.google.com/file/d/14vn5QVQ6Ny7NJA_bZ4ejCKtqRAs53-v6/view?usp=sharing,responsable,
