,ID,Latitude,Longitude,Note,No Aprovechables,Papel y Cartón,Plástico,Vidrio,Pilas,Peligrosos,RAEE,Metales,Aniquem,Intermedios Plastico,Intermedios Metal,Foto,Espacios,Lugar,Accion,Tacho Actual,Tacho Nuevo,Recomendaciones,GOOGLE MAPS
41,PT_b38(3),"-12,068879","-77,080363",null,,,,1,,,,,,,,https://drive.google.com/file/d/1luLiobLUh6RraIPHJJW1M7XR5R90-LoV/view?usp=drive_link,CAMPUS,Biblioteca de teología,,,,,Ver en Google Maps
42,PT_b39(3),"-12,069234","-77,080513",null,1,,1,1,,,,,,,,https://drive.google.com/file/d/1smKGvWTwOjDntRfb6unT27oxo1E2mw0u/view?usp=sharing,CAMPUS,Biblioteca de teología,,,,,Ver en Google Maps
43,PT_b40(4),"-12,069907","-77,080825",null,1,1,1,1,,,,,,,,https://drive.google.com/file/d/1YdOTuKyoADJFkJUkZgb-wmTnZDlty9LH/view?usp=sharing,CAMPUS,Derecho,,,,,Ver en Google Maps
44,PT_b41(4),"-12,069689","-77,081036",null,1,1,1,1,,,,,,,,https://drive.google.com/file/d/1SHYNxiQ4YTj0QKfRDC_DuAu9LPwiuQ26/view?usp=sharing,DERECHO,Pabellón H,,,,,Ver en Google Maps
45,PT_b42(5),"-12,070257","-77,080066",null,1,1,1,1,1,,,,,,,https://drive.google.com/file/d/1N9TBAexjEgXUdOcJgDIFJ0CuAcBzm0AK/view?usp=sharing,CAMPUS, Jardín de frutas,,,,,Ver en Google Maps
46,PT_b43(4),"-12,069828","-77,079755",null,1,1,1,1,,,,,,,,https://drive.google.com/file/d/1I3OrCtY3uzlKo0JigS2X4CNwVA7uG6n-/view?usp=sharing,CAMPUS,Servicio de salud,,,,,Ver en Google Maps
47,PT_44(4),"-12,069308","-77,080132",null,1,1,1,1,,,,,,,,https://drive.google.com/file/d/1lvm__jIoJjzYtVO_lcYEEOH7mjTXvAHA/view?usp=sharing,CAMPUS,Biblioteca al costado del capu,,,,,Ver en Google Maps
48,PT_45(4),"-12,069096","-77,079693",null,1,1,1,1,,,,,,,,https://drive.google.com/file/d/1bJ_2ILYfQ-leek3zVPNHpd0aO4mjyKlf/view?usp=sharing,CAMPUS,Jardín central,,,,,Ver en Google Maps
49,PT_b46(5),"-12,068699","-77,079654",null,1,1,1,1,1,,,,,,,https://drive.google.com/file/d/1HoAjHwMCwq0BKtt98euRqyKJtWL9vseQ/view?usp=sharing,CAMPUS,Juan Valdez,,,,,Ver en Google Maps
50,PT_a3,"-12,068903","-77,080152",null,,,,,,,,,1,,,https://drive.google.com/file/d/1T6F5fanENpFnEm0yOEdhtQp6Gp34I1gU/view?usp=sharing,CAMPUS,-,,,,,Ver en Google Maps
51,PT_b47(3),"-12,068415","-77,080760",null,1,,1,1,,,,,,,,https://drive.google.com/file/d/1wlkE4AslQQDB_Oud6jEZiylq9VNnIRg5/view?usp=sharing,CAMPUS,Facultad de psicología Pabellón S,,,,,Ver en Google Maps
52,PT_b48(5),"-12,068102","-77,080667",null,1,1,1,1,1,,,,,,,https://drive.google.com/file/d/1xkgdQHwr9U72MaYoCqzuyKuQejENM58b/view?usp=sharing,CAMPUS, Psicología,,,,,Ver en Google Maps
